flight,elevation,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,latitude,longitude,day
0,12.0,22.838998794555664,8.888999938964844,15.501500129699707,0.0,23.00269,120.1975,14
0,31.0,26.743499755859375,17.693500518798828,21.510168075561523,0.10000000149011612,22.88466,120.3331,342
0,150.0,21.890499114990234,15.79050064086914,17.998830795288086,4.099999904632568,23.7738,120.672729,34
0,15.0,31.65450096130371,24.60449981689453,28.19824981689453,1.100000023841858,23.03619,120.3011,170
0,145.0,27.243999481201172,17.0939998626709,20.39608383178711,0.0,24.187095,120.610158,334
0,21.0,27.964500427246094,21.31450080871582,24.66242027282715,0.0,22.68347,120.3536,80
0,150.0,25.74049949645996,21.190500259399414,23.59675407409668,0.0,23.7738,120.672729,254
0,149.0,27.583999633789062,19.43400001525879,23.146501541137695,4.099999904632568,23.34179,120.4766,136
0,26.0,27.28299903869629,12.683000564575195,19.549665451049805,0.0,23.00071,120.243,71
0,145.0,22.5939998626709,16.3439998626709,19.22941780090332,2.1000001430511475,24.187095,120.610158,71
0,151.0,25.270999908447266,16.320999145507812,20.06891441345215,0.0,23.34264,120.4771,346
0,97.0,18.980499267578125,14.430500030517578,16.57216453552246,6.299999713897705,22.6437,120.6109,53
0,34.0,27.645999908447266,20.895999908447266,23.250165939331055,0.0,22.99049,120.2329,333
0,117.0,31.342498779296875,25.092498779296875,27.71125030517578,2.5,24.17093,120.6742,171
0,68.0,26.54199981689453,20.642000198364258,23.39616584777832,0.6000000238418579,22.7853812,120.6094252,340
0,23.0,24.260000228881836,13.610000610351562,18.42249870300293,0.0,22.63134,120.313,52
0,43.0,28.519001007080078,18.4689998626709,23.19816780090332,0.0,23.47414,120.4632,308
0,32.0,22.409000396728516,14.459000587463379,17.717330932617188,0.20000000298023224,22.9943,120.2325,65
0,94.0,27.29199981689453,17.04199981689453,21.548248291015625,0.0,24.15017,120.6775,22
0,145.0,28.643999099731445,23.243999481201172,25.164833068847656,8.600001335144043,24.187095,120.610158,159
0,145.0,24.393999099731445,9.644000053405762,15.83358383178711,0.0,24.187095,120.610158,15
0,18.0,21.809999465942383,19.309999465942383,20.49125099182129,3.6999998092651367,21.94334,120.8047,52
0,34.0,31.29599952697754,26.34600067138672,28.88141441345215,0.0,22.99049,120.2329,181
0,13.0,31.33249855041504,23.432498931884766,27.67624855041504,0.0,22.99566,120.2003,277
0,12.0,24.088998794555664,14.888999938964844,18.282751083374023,0.0,23.00269,120.1975,362
